name,age,department,salary
Rahul,22.0,IT,50000.0
Aman,25.473684210526315,HR,45000.0
Priya,24.0,Finance,59222.22222222222
Neha,23.0,Unknown,55000.0
Rohit,25.0,Marketing,60000.0
Simran,26.0,Finance,62000.0
Karan,27.0,IT,58000.0
Anjali,24.0,HR,49000.0
Vikas,28.0,Finance,70000.0
Meena,23.0,Marketing,52000.0
Arjun,29.0,IT,75000.0
Sneha,25.0,Finance,61000.0
Deepak,30.0,HR,68000.0
Pooja,22.0,Marketing,59222.22222222222
Manish,26.0,IT,56000.0
Riya,27.0,Finance,60000.0
Suresh,28.0,HR,65000.0
Alok,29.0,IT,72000.0
Nisha,24.0,Finance,58000.0
